XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1590591600,1698.882,1703.482,1698.584,1701.257,11677,3889.15
XAU,1H,1590595200,1701.257,1710.66,1700.977,1708.088,12772,4178.15
XAU,1H,1590598800,1708.088,1713.535,1708.088,1712.932,3241,4294.65
XAU,1H,1590602400,1712.932,1715.386,1711.36,1713.606,8095,4679.5
XAU,1H,1590606000,1713.606,1715.098,1711.896,1713.586,1370,4725.35
XAU,1H,1590609600,1713.586,1713.951,1708.114,1709.417,1911,4741.7
XAU,1H,1590616800,1709.417,1712.523,1705.767,1710.223,1832,4791.5
XAU,1H,1590620400,1710.223,1711.326,1708.578,1711.012,1355,4830.8
XAU,1H,1590624000,1711.012,1712.838,1709.194,1710.126,933,4699.45
XAU,1H,1590627600,1710.126,1715.176,1709.332,1714.709,1346,4594.3
XAU,1H,1590631200,1714.709,1715.182,1713.092,1713.588,1205,4510.75
XAU,1H,1590634800,1713.588,1714.888,1712.77,1714.604,763,4482.75
XAU,1H,1590638400,1714.604,1716.752,1714.414,1716.372,830,4414.9
XAU,1H,1590642000,1716.372,1719.804,1715.517,1718.998,3223,4458.6
XAU,1H,1590645600,1718.998,1720.77,1718.017,1718.541,2786,4500.5
XAU,1H,1590649200,1718.541,1721.588,1717.654,1719.105,1513,4483.15
XAU,1H,1590652800,1719.105,1722.048,1718.2,1720.23,1454,4314.4
XAU,1H,1590656400,1720.23,1724.78,1719.582,1724.542,1404,4096
XAU,1H,1590660000,1724.542,1724.578,1721.226,1723.951,1558,3685.65
XAU,1H,1590663600,1723.951,1726.44,1720.884,1721.386,2048,3065.8
XAU,1H,1590667200,1721.386,1724.732,1719.684,1722.492,5913,2777.6
XAU,1H,1590670800,1722.492,1727.545,1720.858,1722.028,5719,2424.95
XAU,1H,1590674400,1722.028,1724.203,1719.456,1722.102,8735,2699.65
XAU,1H,1590678000,1722.102,1724.138,1720.21,1723.692,7721,2680.95
XAU,1H,1590681600,1723.692,1724.482,1718.152,1720.496,4350,2829.95
XAU,1H,1590685200,1720.496,1721.188,1712.644,1713.007,6189,3043.85
XAU,1H,1590688800,1713.007,1716.404,1711.47,1716.252,3092,3106.85
XAU,1H,1590692400,1716.252,1720.587,1715.496,1719.802,3179,3198.05
XAU,1H,1590696000,1719.802,1720.031,1717.904,1718.807,1626,3232.7
XAU,1H,1590703200,1718.807,1720.662,1718.807,1719.712,1432,3237
XAU,1H,1590706800,1719.712,1722.404,1719.32,1721.822,1557,3254.6
XAU,1H,1590710400,1721.822,1722.296,1717.348,1718.778,3881,3410.5
XAU,1H,1590714000,1718.778,1722.218,1712.622,1720.776,5129,3625.45
XAU,1H,1590717600,1720.776,1721.224,1719.118,1720.119,461,3487.35
XAU,1H,1590721200,1720.119,1720.782,1719.372,1720.35,226,3359.35
XAU,1H,1590724800,1720.35,1721.91,1719.886,1721.82,468,3307.1
XAU,1H,1590728400,1721.82,1723.032,1720.793,1721.37,1729,3320.85
XAU,1H,1590732000,1721.37,1722.454,1716.708,1721.475,2155,3358.4
XAU,1H,1590735600,1721.475,1721.812,1718.305,1720.218,2077,3384.35
XAU,1H,1590739200,1720.218,1726.842,1720.056,1726.252,2542,3409.05
XAU,1H,1590742800,1726.252,1726.692,1724.226,1726.112,1336,3180.2
XAU,1H,1590746400,1726.112,1728.467,1725.697,1727.719,1235,2956
XAU,1H,1590750000,1727.719,1730.172,1726.674,1729.92,2993,2668.9
XAU,1H,1590753600,1729.92,1733.266,1727.306,1730.762,4215,2493.6
XAU,1H,1590757200,1730.762,1731.694,1726.482,1728.664,10672,2809.7
XAU,1H,1590760800,1728.664,1735.65,1727.708,1734.797,5777,2789.1
XAU,1H,1590764400,1734.797,1735.944,1731.208,1735.02,10065,3137.75
XAU,1H,1590768000,1735.02,1736.2,1733.166,1733.708,6168,3287.2
XAU,1H,1590771600,1733.708,1736.095,1733.441,1734.502,2323,3322.05
XAU,1H,1590775200,1734.502,1737.914,1730.647,1731.098,1113,3306.1
XAU,1H,1590778800,1731.098,1733.947,1726.955,1731.491,4544,3455.45
XAU,1H,1590782400,1731.491,1732.81,1729.04,1729.615,1432,3333
XAU,1H,1590962400,1729.615,1740.323,1729.615,1738.804,3499,3251.5
XAU,1H,1590966000,1738.804,1740.69,1738.686,1739.835,312,3244.05
XAU,1H,1590969600,1739.835,1739.906,1734.564,1735.292,1973,3331.4
XAU,1H,1590973200,1735.292,1738.73,1731.875,1737.282,5220,3569
XAU,1H,1590976800,1737.282,1740.74,1736.942,1739.024,2370,3601.05
XAU,1H,1590980400,1739.024,1739.365,1737.387,1739.172,460,3516.3
XAU,1H,1590984000,1739.172,1743.454,1738.944,1741.609,2178,3521.35
XAU,1H,1590987600,1741.609,1744.694,1741.458,1743.794,1192,3453.85
XAU,1H,1590991200,1743.794,1743.794,1741.046,1741.832,1373,3455.7
XAU,1H,1590994800,1741.832,1742.054,1737.526,1740.246,3291,3558.5
XAU,1H,1590998400,1740.246,1744.15,1734.902,1736.828,3288,3573.25
XAU,1H,1591002000,1736.828,1738.604,1735.91,1736.505,1427,3433.85
XAU,1H,1591005600,1736.505,1736.616,1732.724,1734.756,959,2948.2
XAU,1H,1591009200,1734.756,1734.954,1729.868,1734.801,2444,2781.55
XAU,1H,1591012800,1734.801,1736.129,1731.322,1733.339,4605,2508.55
XAU,1H,1591016400,1733.339,1736.224,1728.904,1732.777,6726,2536.45
XAU,1H,1591020000,1732.777,1738.527,1727.46,1737.728,8416,2841.1
XAU,1H,1591023600,1737.728,1741.35,1735.922,1740.631,9238,3247.35
XAU,1H,1591027200,1740.631,1741.326,1738.062,1738.716,3250,3182.65
XAU,1H,1591030800,1738.716,1738.853,1735.285,1736.695,3011,3261.6
XAU,1H,1591034400,1736.695,1738.42,1734.907,1737.404,3515,3262.4
XAU,1H,1591038000,1737.404,1740.622,1737.27,1739.75,4559,3474.75
XAU,1H,1591041600,1739.75,1740.476,1738.498,1739.923,1902,3471.2
XAU,1H,1591048800,1739.923,1740.66,1737.564,1740.284,789,3249.65
XAU,1H,1591052400,1740.284,1743.393,1740.154,1741.8,636,3162.95
XAU,1H,1591056000,1741.8,1742.617,1739.688,1740.12,728,3176.35
XAU,1H,1591059600,1740.12,1742.006,1736.621,1741.918,2373,3186.1
